split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
test,3300,62,-1.0,95.50502379693285,96.1926091825308,85.66629339305712
valid,3317,63,0.22302165101556218,97.27512452387928,97.2,88.4
test,3317,63,-1.0,95.60923999294657,96.08062709966406,85.55431131019037
valid,3334,64,0.21259257022072287,97.21652505127456,97.2,88.2
test,3334,64,-1.0,95.5234402537892,96.1926091825308,85.44232922732363
valid,3351,65,0.2001312353155192,97.18804920913885,96.8,87.8
test,3351,65,-1.0,95.57397284429554,96.1926091825308,85.55431131019037
valid,3368,66,0.20869344954981522,97.33059548254619,97.0,88.6
test,3368,66,-1.0,95.51870148200423,96.08062709966406,85.21836506159015
valid,3384,67,0.21328565571457148,97.24501758499413,97.0,88.4
test,3384,67,-1.0,95.66137566137567,96.41657334826428,86.00223964165733
valid,3400,68,0.20962705509737134,97.33372399648403,97.2,88.6
test,3400,68,-1.0,95.55712270803949,96.1926091825308,85.66629339305712
valid,3416,69,0.20013217767700553,97.24663151728178,97.2,88.4
test,3416,69,-1.0,95.66137566137567,96.30459126539753,85.77827547592385
valid,3432,70,0.21120349131524563,97.18804920913885,97.0,88.2
test,3432,70,-1.0,95.62610229276896,96.08062709966406,85.55431131019037
valid,3448,71,0.21733083948493004,97.30521382542472,97.39999999999999,88.8
test,3448,71,-1.0,95.62764456981665,96.1926091825308,85.55431131019037
